Завод,Год отгрузки,Месяц,Дата фактической отгрузки,Цех,Стан,МЗК,Получатель МЗК,ОХ,Обозначение ВнешГрМт,Краткое наименование материала,Полное наименование материала,НТД трубы,НД на покрытие,НД на внутреннее покрытие,"Диаметр наружный, мм","Размер 1, мм","Размер 2, мм","Стенка, мм","Длина трубы, мм",Марка стали,Группа прочности,Тип Резьбы,Высадка,Признак термообрабоки,Вид труб-М1,Вид труб-М2,Вид труб-М3 Вид бизнеса,Вид труб-М4-Спец,"Вес, тн.",Валюта Документа,Валютный курс с/ф ТД,"Стоимость ТД без НДС, руб.","Цена ТД без НДС, руб./тн.",Инкотермс,"Инкотермс, Место",Код ТН ВЭД,Номер ГТД,Дата ГТД,Отдел Сбыта,ПФМ Код,ПФМ Текст,Куратор,Спецификация ТД-клиент,Внутр.номер Получателя,ОКПО получателя,ИНН получателя,Получатель,Адрес Получателя,Город Получателя,Регион Получателя,Страна Получателя,Станция назначения,Тип отгрузки,Внутр.номер Плательщика,ОКПО плательщика,ИНН плательщика,Плательщик,Город Плательщика,Страна Плательщика,ОКПО основного потребителя,Основной Потребитель,Регион ПОСТАВКИ РФ,Фед.округ РФ/ Регион мира,Страна назначения,Направление отгрузки,Отрасль Основного Потребителя,Подотрасль Основного Потребителя,Подотрасль потребителя 2 /продукт,Холдинги,Металлотрейдер,№ строки,Получатель рабочее наименование,Плательщик рабочее наименование,ЗРУ из КД,ИГК из КС,"Количество, м","Количество, шт.",Вид трубы Бизнес (M1),Сегмент Бизнес (M3)
ВТЗ,2024,Декабрь,2024-12-08 00:00:00,ТПЦ-3,Линия нефтепров.труб ТПЦ3 ВТЗ,МЗК,ОМЗ,,ТрБесШвнГрДфрОбщНзнч,"ТгдОН ТС1010 N80Q 244,48 10,03","Стальные бесшовные горячедеформированные обсадные трубы без резьбы и муфт D244,48 X S10,03мм, ГрПрч N80 тип Q, ТС 1010-2024, т/о, Н/М: 11000 - 11800мм. Допускается поставка труб длиной от 10500мм в объеме не более 20% от количества, указанного в зака",ТС 1010-2024,,,244.48,,,10.03,,32ХГА,N80 тип Q,,,т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,64.649,RUB,"1,00000",5371038.92,83080,CPT,СТ. НИКЕЛЬ,,,,,МЗК,ПРУ,МЗК,,11000856,07501107,5613000880,"Акционерное общество ""Орский машиностроительный завод""","462431, Российская Федерация, Оренбургская область, город Орск, улица Крупской, дом 1",г.Орск,Оренбургская обл.,Россия,НИКЕЛЬ,Ж/д транспорт,11000856,07501107,5613000880,"Акционерное общество ""Орский машиностроительный завод""",г.Орск,Россия,07501107,Орский машиностроительный завод,Оренбургская область,Приволжский ФО,Россия,РФ,Кооперация,Кооперация РФ,Кооперация,ТМК,-,В33552,Орский машиностроительный завод,Орский машиностроительный завод,,,1085.8,95,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-09 00:00:00,ТПЦ-3,Линия нефтепров.труб ТПЦ3 ВТЗ,МЗК,ОМЗ,,ТрБеcШвнГрДфрМуфтЗгт,ТгдОН ТС1187 P110 190 20,"Бесшовные горячекатаные трубные заготовки для муфт D190,00 X S20,00мм, ТС 1187-2023 (ГОСТ 31446-2017), PSL-1,ГрПрч P110, т/о, Н/М: 6000 - 12000мм, Обрезка резцом, Прямой рез. Допускается обрезка концов труб плазмой.",ТС 1187-2023,,,190,,,20,,26ХГМФБА,P110,,,т/о,Гд Общ,Бесшовные Гд,Бш Пром,Муфтовая заготовка,16.612,RUB,"1,00000",1818283.072,109456,FCA,"АО ""ВТЗ""",,,,,МЗК,ПРУ,ГИРИНА Ю.А.,,11000856,07501107,5613000880,"Акционерное общество ""Орский машиностроительный завод""","462431, Российская Федерация, Оренбургская область, город Орск, улица Крупской, дом 1",г.Орск,Оренбургская обл.,Россия,,Самовывоз,11000856,07501107,5613000880,"Акционерное общество ""Орский машиностроительный завод""",г.Орск,Россия,07501107,Орский машиностроительный завод,Оренбургская область,Приволжский ФО,Россия,РФ,Кооперация,Кооперация РФ,Кооперация,ТМК,-,В33578,Орский машиностроительный завод,Орский машиностроительный завод,,,201.87,24,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-09 00:00:00,ТПЦ-3,Линия нефтепров.труб ТПЦ3 ВТЗ,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 09Г2С 426 10,Труба бесшовная горячедеформированная 426х10 09Г2С,ГОСТ 8732-78/8731-74,,,426,,,10,,09Г2С,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,42.697,RUB,"1,00000",3492960.87267,81808.11,CPT,СТ. ЗАГОРОДНЯЯ,,,,ДПВР,БН ОП,ОП_ПЭМ,АКСЕНОВА Ю.А.,,11018442,48134187,6330017677,"Акционерное общество ""РН-ТРАНС""","446207, РФ, Самарская обл., г. Новокуйбышевск, ул. Осипенко, д.11",г. Новокуйбышевск,Самарская обл.,Россия,ЗАГОРОДНЯЯ,Ж/д транспорт,11023411,47460105,6685184251,"Общество с ограниченной ответственностью ""Синарастройкомплект""",город Москва,Россия,67826502,Башнефть-Уфанефтехим,Республика Башкортостан,Приволжский ФО,Россия,РФ,Химия и нефтехимия,Нефтепереработка,-,Роснефть,-,В33579,РН-Транс,Синарастройкомплект,,,405.51,36,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-05 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 35 127 25,"Трубы горячедеформированные общего назначения D127,00 X S25,00 ГОСТ 8732-78/8731-74, МСт 35, ГрПст В, Н/Б: 8430 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,127,,,25,,35,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,20.68,RUB,"1,00000",2791800,135000,DAP,Г. МОГИЛЁВ,7304399209,,,ДПВР,БН ОП,ОП_СНГ,СИДОРКИН Е.С.,,16006288,-,,"Завод ""Могилёвтрансмаш"" ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""","212030, БЕЛАРУСЬ, г. Могилёв, ул. Мытная, 9",г. Могилёв,,Беларусь,,Автотранспорт,12000090,05808729,100320487,"Открытое акционерное общество ""Минский автомобильный завод"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",г.Минск,Беларусь,-,Могилевтрансмаш МАЗ -УКХ БЕЛАВТОМАЗ,-,БЗ,Беларусь,БЗ,Экспорт,Экспорт БЗ,-,-,-,В34372,Могилевтрансмаш МАЗ -УКХ БЕЛАВТОМАЗ,Минский автомобильный завод - УКХ БЕЛАВТОМАЗ,,,333.59,49,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 35 133 22,"Трубы горячедеформированные общего назначения D133,00 X S22,00 ГОСТ 8732-78/8731-74, МСт 35, ГрПст В, Н/Д Обрезка плазмой",ГОСТ 8732-78/8731-74,,,133,,,22,,35,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,10.735,RUB,"1,00000",1202320,112000,FCA,Г. ВОЛЖСКИЙ,7304399209,,,ОСП-К ТМК,БН ОП,ОП_СНГ,ГЕРАСИМОВА А.В.,,12000755,37565955,190317659,"Общество с ограниченной ответственностью ""ХИМТОРГ""","220030, город Минск, ул. Революционная, дом 17, офис 17",г. Минск,,Беларусь,,Самовывоз,12000755,37565955,190317659,"Общество с ограниченной ответственностью ""ХИМТОРГ""",г. Минск,Беларусь,37565955,ХИМТОРГ,-,БЗ,Беларусь,БЗ,Экспорт,Экспорт БЗ,-,-,-,В34373,ХИМТОРГ,ХИМТОРГ,,,181.99,21,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-04 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 40Х 108 16,"Трубы горячедеформированные общего назначения D108,00 X S16,00 ГОСТ 8732-78/8731-74, МСт 40Х, ГрПст В, Н/Д Обрезка резцом, ТипКонцов: Прямой рез",ГОСТ 8732-78/8731-74,,,108,,,16,,40Х,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,10.9,RUB,"1,00000",1433350,131500,FCA,Г. ВОЛЖСКИЙ,7304599209,,,,БН ОП,ОП_СНГ,ЧУСОВЛЯНОВ В.С.,,12001431,50049299500,192784980,"Общество с ограниченной ответственностью ""Уралсиб""","Республика Беларусь, 220033, г. Минск, Партизанский проспект 2 корп. 4, каб.1110",г. Минск,,Беларусь,,Самовывоз,12001431,50049299500,192784980,"Общество с ограниченной ответственностью ""Уралсиб""",г. Минск,Беларусь,50049299500,Уралсиб,-,БЗ,Беларусь,БЗ,Экспорт,Экспорт БЗ,-,-,-,В34374,Уралсиб,Уралсиб,,,292.43,35,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-09 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 45 127 30,"Трубы горячедеформированные общего назначения D127,00 X S30,00 ГОСТ 8732-78/8731-74, МСт 45, ГрПст В, К/Д: 460 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,127,,,30,,45,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,20.82,RUB,"1,00000",2748240,132000,DAP,Г. МИНСК,7304399209,,,,БН ОП,ОП_СНГ,СИДОРКИН Е.С.,,12000090,05808729,100320487,"Открытое акционерное общество ""Минский автомобильный завод"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""","220021, г.Минск, ул.Социалистическая, 2",г.Минск,,Беларусь,,Автотранспорт,12000090,05808729,100320487,"Открытое акционерное общество ""Минский автомобильный завод"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",г.Минск,Беларусь,05808729,Минский автомобильный завод - УКХ БЕЛАВТОМАЗ,-,БЗ,Беларусь,БЗ,Экспорт,Экспорт БЗ,-,-,-,В34375,Минский автомобильный завод - УКХ БЕЛАВТОМАЗ,Минский автомобильный завод - УКХ БЕЛАВТОМАЗ,,,296.58,42,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-09 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 35 146 18,"Трубы горячедеформированные общего назначения D146,00 X S18,00 ГОСТ 8732-78/8731-74, МСт 35, ГрПст В, М/Д: 7600 Обрезка резцом, ТипКонцов: Прямой рез",ГОСТ 8732-78/8731-74,,,146,,,18,,35,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,8.725,RUB,"1,00000",1177875,135000,DAP,Г. МОГИЛЁВ,7304399209,,,ДПВР,БН ОП,ОП_СНГ,СИДОРКИН Е.С.,,16006288,-,,"Завод ""Могилёвтрансмаш"" ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""","212030, БЕЛАРУСЬ, г. Могилёв, ул. Мытная, 9",г. Могилёв,,Беларусь,,Автотранспорт,12000090,05808729,100320487,"Открытое акционерное общество ""Минский автомобильный завод"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",г.Минск,Беларусь,-,Могилевтрансмаш МАЗ -УКХ БЕЛАВТОМАЗ,-,БЗ,Беларусь,БЗ,Экспорт,Экспорт БЗ,-,-,-,В34376,Могилевтрансмаш МАЗ -УКХ БЕЛАВТОМАЗ,Минский автомобильный завод - УКХ БЕЛАВТОМАЗ,,,155.8,20,Гд Общ,Бш Пром/Seamless Ind
ТАГМЕТ,2024,Декабрь,2024-12-07 00:00:00,ТСЦ 3,1206_АНПС,-,-,-,ТрСврПрмШвнВдГзПрвд,"ТпшВГП ГОСТ3262 2ПС 40(48) 3,5 Ц","Трубы прямошовные водогазопроводные ГОСТ 3262-75, D48,00 Dусл40,00 S3,50, МСт Ст2пс, Резб без резьбы, Покр ОЦИНКОВАННАЯ, ГОСТ 3262-75, Концовка: Прямой рез М/Д 6000",ГОСТ 3262-75,-,-,48,,,3.5,6000,Ст2пс,,Без резьбы,-,,Св ВГП,Оцинкованные,Св Пром,Оцинк,9.98,RUB,"1,00000",773450,77500,FCA,"АО ""ТАГМЕТ""",-,,-,ДПВР,3100-00-017,УП РИО,КРАСАВЦЕВ П.Е.,25122023-ТМ/ТО-32,16008490,85762734,7709787790,"ООО ""Велесстрой"", ОП ""Усть-Луга"" (Усть-Луга. Завод СПГ)",,п. Усть-Луга,Ленинградская область,Россия,,Самовывоз,11027198,85762734,7709787790,"Общество с ограниченной ответственностью ""Велесстрой""",г. Москва,Россия,85762734,Велесстрой ОП Усть-Луга,Ленинградская область,Северо-Западный ФО,Россия,РФ,Химия и нефтехимия,Газопереработка,-,Велесстрой,-,Т18471,Велесстрой ОП Усть-Луга,Велесстрой,-,-,2520,420,Св ВГП,Св Пром/Welded Indus
ТАГМЕТ,2024,Декабрь,2024-12-07 00:00:00,ТСЦ 1,1204_ТЭСА,-,-,-,ТрСврПрмШвнОбщНзнч,ТпшОН ГОСТ10704 20 57 3,"Трубы прямошовные общего назначения ГОСТ 10705-80/ ГОСТ 10704-91 гр.В, D57,00 S3,00, МСт 20, Концовка: Прямой рез М/Д 9500",ГОСТ 10705-80/ ГОСТ 10704-91,-,-,57,,,3,9500,20,,,-,,Св Общ,Сварные МД,Св Пром,-,0.988,RUB,"1,00000",49653.18,50256.25,EXW,"АО ""ТАГМЕТ""",-,,-,ПРО,1200-00-02,ПРО,КРАЙНЯЯ М.М.,4341,16007898,34406009,5001122378,"Общество с ограниченной ответственностью ""СпецГазСтрой""",,г. Балашиха,Московская область,Россия,,Самовывоз,2100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,34406009,СпецГазСтрой,Московская область,Центральный ФО,Россия,РФ,Инфраструктура,Строительные организации,-,-,ТД ТМК,Т18477,СпецГазСтрой,ТД ТМК,-,-,247,26,Св Общ,Св Пром/Welded Indus
ТАГМЕТ,2024,Декабрь,2024-12-07 00:00:00,ТСЦ 2,1205_ТЭСА5,-,-,-,ТрСврПрмШвнОбщНзнч,ТпшОН ГОСТ10704 2ПС 89 3,"Трубы прямошовные общего назначения ГОСТ 10705-80/ ГОСТ 10704-91 гр.В, D89,00 S3,00, МСт Ст2пс, Концовка: Прямой рез М/Д 11000",ГОСТ 10705-80/ ГОСТ 10704-91,-,-,89,,,3,11000,Ст2пс,,,-,,Св Общ,Сварные МД,Св Пром,-,4.267,RUB,"1,00000",214443.42,50256.25,EXW,"АО ""ТАГМЕТ""",-,,-,ПРО,1200-00-02,ПРО,КРАЙНЯЯ М.М.,4341,16007898,34406009,5001122378,"Общество с ограниченной ответственностью ""СпецГазСтрой""",,г. Балашиха,Московская область,Россия,,Самовывоз,2100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,34406009,СпецГазСтрой,Московская область,Центральный ФО,Россия,РФ,Инфраструктура,Строительные организации,-,-,ТД ТМК,Т18478,СпецГазСтрой,ТД ТМК,-,-,671,61,Св Общ,Св Пром/Welded Indus
ТАГМЕТ,2024,Декабрь,2024-12-07 00:00:00,ТСЦ 2,1205_ТЭСА5,-,-,-,ТрСврПрмШвнОбщНзнч,ТпшОН ГОСТ10704 2ПС 89 4 Ц,"Трубы прямошовные общего назначения ГОСТ 10705-80/ ГОСТ 10704-91 гр.В, D89,00 S4,00, МСт Ст2пс, ТС 14-157-248-2016, Покр ОЦИНКОВАННАЯ, ТУ 14-157-95-2024, Концовка: Прямой рез М/Д 7800",ГОСТ 10705-80/ ГОСТ 10704-91,-,-,89,,,4,7800,Ст2пс,,,-,,Св Общ,Оцинкованные,Св Пром,Оцинк,5.184,RUB,"1,00000",371608.04,71683.65,EXW,"АО ""ТАГМЕТ""",-,,-,ПРО,1200-00-02,ПРО,КРАЙНЯЯ М.М.,4338,11021731,37387258,3443114404,"Общество с ограниченной ответственностью ""Максимет""",,г. Волгоград,Волгоградская область,Россия,,Самовывоз,2100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,37387258,Максимет,Волгоградская область,Южный ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Локальный трейдер,-,ТД ТМК,Т18479,Максимет,ТД ТМК,-,-,600.6,77,Св Общ,Св Пром/Welded Indus
ТАГМЕТ,2024,Декабрь,2024-12-07 00:00:00,ТСЦ 2,1205_ ПГА,-,-,-,ТрСврПрмШвнНфГзПрвд,"ТпшНГП ГОСТ10704 20 159 4,5 Ц","Трубы прямошовные нефтегазопроводные ГОСТ 10705-80/ ГОСТ 10704-91 гр.В, D159,00 S4,50, МСт 20, ТС 14-157-248-2016, Покр ОЦИНКОВАННАЯ, ТУ 14-157-95-2024, Концовка: Прямой рез М/Д 7800",ГОСТ 10705-80/ ГОСТ 10704-91,-,-,159,,,4.5,7800,20,,,-,,Св Общ,Оцинкованные,Св Пром,Оцинк,19.973,RUB,"1,00000",1378831.86,69034.79,EXW,"АО ""ТАГМЕТ""",-,,-,ПРО,1200-00-02,ПРО,РОГАЧЕВА А.В.,4331,11016220,11439348,7736192449,"Общество с ограниченной ответственностью ""Сантехкомплект""",,г. Видное,Московская область,Россия,,Самовывоз,2100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,11439348,Сантехкомплект,Московская область,Центральный ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Сетевой трейдер,Сантехкомплект,Сантехкомплект,Т18480,Сантехкомплект,ТД ТМК,-,-,1131,145,Св Общ,Св Пром/Welded Indus
ТАГМЕТ,2024,Декабрь,2024-12-07 00:00:00,ТСЦ 3,1206_АНПС,-,-,-,ТрСврПрмШвнВдГзПрвд,ТпшВГП ГОСТ3262 2ПС 50(60) 3,"Трубы прямошовные водогазопроводные ГОСТ 3262-75, D60,00 Dусл50,00 S3,00, МСт Ст2пс, Резб без резьбы, Покр ОЦИНКОВАННАЯ, ГОСТ 3262-75, Концовка: Прямой рез М/Д 7800",ГОСТ 3262-75,-,-,60,,,3,7800,Ст2пс,,Без резьбы,-,,Св ВГП,Оцинкованные,Св Пром,Оцинк,6.277,RUB,"1,00000",454847.11,72462.5,EXW,"АО ""ТАГМЕТ""",-,,-,ПРО,1200-00-02,ПРО,МАМЧЕНКО Л.П.,4333,11047106,65397244,6154565273,"ОП ООО ""Ростсталь""",,г. Ростов-на-Дону,Ростовская область,Россия,,Самовывоз,2100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,65397244,Ростсталь,Ростовская область,Южный ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Локальный трейдер,-,ТД ТМК,Т18481,Ростсталь,ТД ТМК,-,-,1443,185,Св ВГП,Св Пром/Welded Indus
ТАГМЕТ,2024,Декабрь,2024-12-07 00:00:00,ТСЦ 3,1206_АНПС,-,-,-,ТрСврПрмШвнВдГзПрвд,"ТпшВГП ТС157-031 2ПС 50(60) 3,2","Трубы прямошовные водогазопроводные ТС 157-031-2015, D60,00 Dусл50,00 S3,20, МСт Ст2пс, Резб без резьбы, Концовка: Прямой рез М/Д 7800",ТС 157-031-2015,-,-,60,,,3.2,7800,Ст2пс,,Без резьбы,-,,Св ВГП,ВГП,Св Пром,-,13.629,RUB,"1,00000",647783.51,47529.79,EXW,"АО ""ТАГМЕТ""",-,,-,ПРО,1200-00-02,ПРО,МАМЧЕНКО Л.П.,4343,11047106,65397244,6154565273,"ОП ООО ""Ростсталь""",,г. Ростов-на-Дону,Ростовская область,Россия,,Самовывоз,2100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,65397244,Ростсталь,Ростовская область,Южный ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Локальный трейдер,-,ТД ТМК,Т18482,Ростсталь,ТД ТМК,-,-,3042,390,Св ВГП,Св Пром/Welded Indus
ТАГМЕТ,2024,Декабрь,2024-12-08 00:00:00,ТСЦ 3,1206_АНПС,-,-,-,ТрСврПрмШвнВдГзПрвд,"ТпшВГП ГОСТ3262 2ПС 15(21,3) 2,5","Трубы прямошовные водогазопроводные ГОСТ 3262-75, D21,30 Dусл15,00 S2,50, МСт Ст2пс, Резб без резьбы, Концовка: Прямой рез М/Д 7800",ГОСТ 3262-75,-,-,21.3,,,2.5,7800,Ст2пс,,Без резьбы,-,,Св ВГП,ВГП,Св Пром,-,10.342,RUB,"1,00000",515727.51,49867.29,EXW,"АО ""ТАГМЕТ""",-,,-,ПРО,1200-00-02,ПРО,МАМЧЕНКО Л.П.,4340,11047106,65397244,6154565273,"ОП ООО ""Ростсталь""",,г. Ростов-на-Дону,Ростовская область,Россия,,Самовывоз,2100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,65397244,Ростсталь,Ростовская область,Южный ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Локальный трейдер,-,ТД ТМК,Т18495,Ростсталь,ТД ТМК,-,-,8915.4,1143,Св ВГП,Св Пром/Welded Indus
ТАГМЕТ,2024,Декабрь,2024-12-08 00:00:00,ТСЦ 3,1206_АНПС,-,-,-,ТрСврПрмШвнВдГзПрвд,ТпшВГП ГОСТ3262 2ПС 50(60) 3,"Трубы прямошовные водогазопроводные ГОСТ 3262-75, D60,00 Dусл50,00 S3,00, МСт Ст2пс, Резб без резьбы, Покр ОЦИНКОВАННАЯ, ГОСТ 3262-75, Концовка: Прямой рез М/Д 7800",ГОСТ 3262-75,-,-,60,,,3,7800,Ст2пс,,Без резьбы,-,,Св ВГП,Оцинкованные,Св Пром,Оцинк,2.952,RUB,"1,00000",213909.3,72462.5,EXW,"АО ""ТАГМЕТ""",-,,-,ПРО,1200-00-02,ПРО,МАМЧЕНКО Л.П.,4333,11047106,65397244,6154565273,"ОП ООО ""Ростсталь""",,г. Ростов-на-Дону,Ростовская область,Россия,,Самовывоз,2100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,65397244,Ростсталь,Ростовская область,Южный ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Локальный трейдер,-,ТД ТМК,Т18496,Ростсталь,ТД ТМК,-,-,678.6,87,Св ВГП,Св Пром/Welded Indus
ТАГМЕТ,2024,Декабрь,2024-12-08 00:00:00,ТСЦ 3,1206_АНПС,-,-,-,ТрСврПрмШвнВдГзПрвд,"ТпшВГП ТС157-031 2ПС 50(60) 3,2","Трубы прямошовные водогазопроводные ТС 157-031-2015, D60,00 Dусл50,00 S3,20, МСт Ст2пс, Резб без резьбы, Концовка: Прямой рез М/Д 7800",ТС 157-031-2015,-,-,60,,,3.2,7800,Ст2пс,,Без резьбы,-,,Св ВГП,ВГП,Св Пром,-,2.201,RUB,"1,00000",104613.07,47529.79,EXW,"АО ""ТАГМЕТ""",-,,-,ПРО,1200-00-02,ПРО,МАМЧЕНКО Л.П.,4343,11047106,65397244,6154565273,"ОП ООО ""Ростсталь""",,г. Ростов-на-Дону,Ростовская область,Россия,,Самовывоз,2100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,65397244,Ростсталь,Ростовская область,Южный ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Локальный трейдер,-,ТД ТМК,Т18497,Ростсталь,ТД ТМК,-,-,491.4,63,Св ВГП,Св Пром/Welded Indus
ТАГМЕТ,2024,Декабрь,2024-12-08 00:00:00,ТСЦ 2,1205_ТЭСА5,-,-,-,ТрСврПрмШвнОбщНзнч,"ТпшОН ГОСТ10704 2ПС 89 3,5","Трубы прямошовные общего назначения ГОСТ 10705-80/ ГОСТ 10704-91 гр.В, D89,00 S3,50, МСт Ст2пс, Концовка: Прямой рез М/Д 11000",ГОСТ 10705-80/ ГОСТ 10704-91,-,-,89,,,3.5,11000,Ст2пс,,,-,,Св Общ,Сварные МД,Св Пром,-,3.085,RUB,"1,00000",146629.4,47529.79,EXW,"АО ""ТАГМЕТ""",-,,-,ПРО,1200-00-02,ПРО,МАМЧЕНКО Л.П.,4323,11047106,65397244,6154565273,"ОП ООО ""Ростсталь""",,г. Ростов-на-Дону,Ростовская область,Россия,,Самовывоз,2100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,65397244,Ростсталь,Ростовская область,Южный ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Локальный трейдер,-,ТД ТМК,Т18498,Ростсталь,ТД ТМК,-,-,418,38,Св Общ,Св Пром/Welded Indus
ТАГМЕТ,2024,Декабрь,2024-12-08 00:00:00,ТСЦ 2,1205_ТЭСА5,-,-,-,ТрСврПрмШвнОбщНзнч,ТпшОН ГОСТ10704 20 108 4,"Трубы прямошовные общего назначения ГОСТ 10705-80/ ГОСТ 10704-91 гр.В, D108,00 S4,00, МСт 20, Концовка: Прямой рез М/Д 11000",ГОСТ 10705-80/ ГОСТ 10704-91,-,-,108,,,4,11000,20,,,-,,Св Общ,Сварные МД,Св Пром,-,4.966,RUB,"1,00000",238354.54,47997.29,EXW,"АО ""ТАГМЕТ""",-,,-,ПРО,1200-00-02,ПРО,ТРОФИМОВА О.Н.,4215,11005860,50444624,2308062557,"общество с ограниченной ответственностью ""Стройтрубосталь""",,г. Краснодар,Краснодарский край,Россия,,Самовывоз,2100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,50444624,Стройтрубосталь,Краснодарский край,Южный ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Локальный трейдер,-,ТД ТМК,Т18499,Стройтрубосталь,ТД ТМК,-,-,484,44,Св Общ,Св Пром/Welded Indus
ТАГМЕТ,2024,Декабрь,2024-12-08 00:00:00,ТСЦ 2,1205_ ПГА,-,-,-,ТрСврПрмШвнНфГзПрвд,ТпшНГП ГОСТ10704 20 159 4,"Трубы прямошовные нефтегазопроводные ГОСТ 10705-80/ ГОСТ 10704-91 гр.В, D159,00 S4,00, МСт 20, Концовка: Прямой рез М/Д 11800",ГОСТ 10705-80/ ГОСТ 10704-91,-,-,159,,,4,11800,20,,,-,,Св Общ,Сварные СД,Св Пром,-,10.104,RUB,"1,00000",484964.62,47997.29,EXW,"АО ""ТАГМЕТ""",-,,-,ПРО,1200-00-02,ПРО,ТРОФИМОВА О.Н.,4219,11005860,50444624,2308062557,"общество с ограниченной ответственностью ""Стройтрубосталь""",,г. Краснодар,Краснодарский край,Россия,,Самовывоз,2100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,50444624,Стройтрубосталь,Краснодарский край,Южный ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Локальный трейдер,-,ТД ТМК,Т18500,Стройтрубосталь,ТД ТМК,-,-,660.8,56,Св Общ,Св Пром/Welded Indus
